Title,Company,Location,Date_Posted,Description,Link,Level
Analista de Dados Pleno,J&T Express Brasil,"São Paulo, São Paulo, Brazil",,"AJ&T Expressé conhecida como uma das maiores empresas do setor de transportes de logística, entrega expressa, armazenamento e cadeia de suprimentos. Estamos presentes em 13 países, como Indonésia, Vietnã, Malásia, Filipinas, Tailândia, Cambodja , Singapura, China, Arábia Saudita, Emirados Árabes Unidos, México e Brasil. Nossos serviços alcançam mais de 2 bilhões de pessoas ao redor do mundo. Todos os dias fornecemos aos nossos clientes uma experiência de entrega expressa de excelente qualidade e eficiência, altamente confiável, trazendo mais benefícios às pessoas e fazendo com que elas aproveitem as transformações da economia digital.Nossos números:240 centros de transferências de larga escala; 1.000 equipamentos de triagem inteligente; 23.000 pontos de distribuição; mais de 400.000 colaboradores. Nossos serviços atingem 2,5 bilhões de pessoas ao redor do mundo.Venha construir um futuro melhor conosco!Posição: Analista de Dados Pleno - Logística|TransportesDescrição da posição:Responsável por coletar, analisar e interpretar grandes volumes de dados;Realizar análises aprofundadas sobre indicadores-chave de performance (KPIs) logísticos;Identificar gaps e ineficiências nos fluxos logísticos e propor soluções baseadas em dados para redução de impacto e melhoria do nível de serviço;Desenvolver e manter dashboards e relatórios automatizados utilizando ferramentas de Business Intelligence para visualização clara e em tempo real dos dados logísticos;Elaborar relatórios gerenciais periódicos com insights sobre desempenho e melhorias por regional.Requisitos e qualificaçõesConhecimento da área logística/transportes, principalmente com atuação de e-commerce;Experiência em coletar, analisar e interpretar grande volume de dados e converter em relatório;Experiência em apontamento dos pontos críticos baseando-se nos dados;Superior Completo em áreas relacionadas;Conhecimento avançado do Excel;Conhecimento em linguagem de programação SQL e Python;Conhecimento em DAX (Power BI) para automatização da extração de dados.Local de trabalho: Berrini/SP - próximo da estação Vila Olímpia.Modelo:100% presencialContrato:CLTBenefícios:VR e VAVale TransporteSeguro de VidaAssistência Médica AmilPlano Odontológico AmilDay OffTotalpassConvênio FarmáciaPLRA J&T Express Brasil é uma empregadora que oferece oportunidades Iguais e não discrimina no recrutamento, contratação, treinamento, promoção ou qualquer outra prática de emprego por motivos de raça, cor, religião, gênero, origem nacional, idade, orientação sexual, estado civil, deficiência ou qualquer outra condição legalmente protegida.",https://br.linkedin.com/jobs/view/analista-de-dados-pleno-at-j-t-express-brasil-4339287155?position=8&pageNum=7&refId=FlV8AJVdof1BckFf8ZKwpg%3D%3D&trackingId=gV7Bf49oVxUPlR7lJGuc3Q%3D%3D,Pleno
CAS | Analista de Dados JR - Vertical de Associação e Contas,Sicredi,"São Paulo, São Paulo, Brazil",2025-11-13,"Descrição da vagaO analista de dados tem como objetivo criar, estruturar e desenvolver análises a fim de traduzir dados em insights que sejam relevantes para o negócio e funcionem como instrumentos para tomada de decisão. Esta é uma oportunidade para atuar naVertical de Associação e Contasconsolidando a cultura data-driven no dia a dia, aprimorando todo o pipeline de dados, desde a sua estruturação até a tomada de decisão.Responsabilidades e atribuiçõesAnálise de Dados: coletar, processar e analisar dados para identificar padrões, tendências e oportunidades. Elaborar estudos de cenário e diagnóstico do negócio. Apoiar times na mensuração de resultados, identificando oportunidades e padrões. Identificar indicadores de performance (KPIs). Aplicar métodos estatísticos avançados, como clusterização e distribuição de probabilidade.Geração de Relatórios e Insights: preparar relatórios, dashboards e apresentações com insights acionáveis para tomada de decisões.Desenvolvimento de análises complexas: aplicar métodos estatísticos avançados.Colaboração com outras áreas: trabalhar em conjunto com equipes de negócio para garantir alinhamento em relação às análises. Interagir com diferentes papéis no pipeline de dados.Desenvolvimento de produtos: acompanhar o desenvolvimento de produtos, da concepção aos resultados em produção.Gestão da estratégia de dados: manter documentação para gestão da estratégia de dados, incluindo democratização, governança e qualidade. Contribuir para evolução técnica e do negócio.Atendimento de demandas: auxiliar no atendimento de demandas com análises e extrações de dados. Priorizar pipeline, alinhar-se com stakeholders e demandar necessidades técnicas.Mentoria e treinamentos: organizar capacitações e mentorias para analistas de menor senioridade.Visão ampla e conectada a produto e negócio, ajudando no entendimento e construção de soluções e estudos de dados relevantes;Aplicação de melhores práticas e conhecimentos para estimular a cultura e utilização de dados;Atuar nos processos de dados no desenvolvimento de produtos, desde a concepção até o acompanhamento dos resultados em produção e os seus indicadores (Upstream e Downstream);Ser protagonista em melhorias contínuas na estrutura de dados, conectado ao time de centro, engenharia e produtos.Requisitos e qualificaçõesConhecimento em SQL para análise e otimização avançada de dados.Domínio de ferramentas de visualização de dados como Power BI para criação de dashboards impactantes.Ampla experiência em modelagem de dados e otimização para desempenho.Proficiência em treinamento de business intelligence e compartilhamento de conhecimento.Capacidade de levantar questões relevantes a partir de análise de dados disponíveis para subsequente análiseHabilidades de liderança para liderar iniciativas de BI e conduzir decisões estratégicas.Pensamento estratégico para identificar oportunidades de melhorias baseadas em dados.Excelentes habilidades de comunicação e apresentação para influenciar as partes interessadas.Capacidade de orientar e treinar membros juniores da equipe para o desenvolvimento de habilidades.Resiliência e adaptabilidade para enfrentar desafios de negócios complexos.Boas práticas de data analytics, data engineer e data science;Governança de dados e LGPD.Áreas de Formação Preferenciais: Análise de Sistemas, Estatística, Matemática, Ciência da Computação, Engenharia ou áreas correlacionadas.Nível de Formação: Ensino Superior - Concluído ou em andamentoInformações adicionaisNoCentro Administrativo Sicredi (CAS)para as posições nas áreas de negócio adotamos o formato de trabalho híbrido que se consolidou em 3 dias presenciais, na Sede da empresa, localizada na Av. Assis Brasil, 3940, São Sebastião, Porto Alegre/RS e 2 dias em teletrabalho. Nas posições da área Tech adotamos o formato de teletrabalho.____________________________________________________No Sicredi Você Vai Ter14º e 15º salários fixos;Participações nos Resultados (conforme a senioridade);Plano de Saúde e Odontológico sem coparticipação,Programas de bem-estar com Wellhub (antiga Gympass), Nutrição, Psicologia, Laboral, Massagem, Grupo de corrida e academia local;Vale Alimentação e Vale Refeição – com flexibilidade de % nos cartões VA/VR, sem coparticipação;Licença maternidade e paternidade estendida;Auxílio creche ou babá para crianças até 6 anos e 11 meses;Auxílio para filhos com deficiência, sem limite de idade;Seguro de vida,Previdência Privada até 7% do salário;Plataforma de Treinamentos – Sicredi Aprende, com diversos cursos;Carga horária de 40h semanais – Utilizando sistema de banco de horas;Auxílio Teletrabalho (exceto para posições com atuação 100% presenciais).Etapas do processoCadastroAlinhamento de expectativasIdentificando o seu perfil (PDA)Bate Papo com GPBate Papo com a ÁreaDesafio TécnicoContrataçãoSomos o Sicredi, a primeira Instituição Financeira Cooperativa do BrasilMuito prazer, nós somos o Sicredi.Nossa trajetória começou há mais de 120 anos, como a primeira instituição financeira cooperativa do Brasil. Hoje, seguimos crescendo e nos transformando a cada dia, ao lado demais de 50 mil pessoas colaboradoras. São elas que nos tornam aMelhor Empresa Para Trabalhar, ocupando novamente a primeira posição, segundo o Great Place To Work Brasil (GPTW).Junto amais de 9 milhões de associados,em todos os estados do país, acreditamos no poder da cooperação paraconstruir uma sociedade mais próspera e gerar impacto positivo na vida das pessoas.Um propósito que nos une e nos inspira, promovendo o desenvolvimento local e sustentável, a educação e a inclusão financeira.Seguimos buscando talentos que queiram fazer parte da construção de um mundo melhor e queremos contar com você.#VemSerSicredi!",https://br.linkedin.com/jobs/view/cas-analista-de-dados-jr-vertical-de-associa%C3%A7%C3%A3o-e-contas-at-sicredi-4335964425?position=9&pageNum=7&refId=FlV8AJVdof1BckFf8ZKwpg%3D%3D&trackingId=FAY7WfePKax7Fn7DasB%2BCg%3D%3D,Junior
Analista de Dados Sr,Magalu,"São Paulo, São Paulo, Brazil",2025-11-11,"Sobre nósO Magalu é uma das maiores empresas de varejo do Brasil, reconhecida por sua inovação e presença digital. Com mais de 60 anos de história, conecta milhões de clientes por meio das lojas e de uma plataforma multicanal, oferecendo produtos e serviços de qualidade. A empresa investe continuamente em transformação digital, tecnologia e diversidade, criando um ambiente dinâmico e colaborativo.Você será responsável por transformar grandes volumes de dados de Meios de Pagamento (adquirência, bandeiras, taxas e parcelamento) em ações estratégicas e insights de negócio para otimização da performance e tomada de decisão no Grupo Magalu. Será o ponto focal de estudos e relatórios utilizando BigQuery, ferramentas de BI e no fomento à utilização de técnicas de Inteligência Artificial (IA) para predição e automação.Descrição do CargoDesenvolver, otimizar e monitorar modelos e consultas de dados complexos no BigQuery para extração de informações estratégicas.Realizar análises de causa-raiz e desempenho dos principais KPIs da operação de Meios de Pagamento.Criar dashboards e relatórios automatizados em ferramentas de BI (Power BI/Looker Studio) para diferentes stakeholders.Identificar tendências, anomalias e oportunidades para otimização da política de taxas, parcelamento e performance de pagamentos.Propor e implementar soluções de Inteligência Artificial/Machine Learning (junto ao time de Engenharia, quando necessário) para automação de insights ou predição de cenários.Atuar com capacidade ""fuçativa"", investigando proativamente bases de dados e cruzando informações para descobrir insights ocultos.RequisitosExperiência comprovada em análise de dados e geração de insights estratégicos, preferencialmente no segmento financeiro/meios de pagamento.Domínio avançado de SQL/BigQuery para manipulação e extração de grandes volumes de dados.Forte habilidade analítica, estruturando problemas de negócio e traduzindo-os em modelos de dados.Conhecimento e experiência com ferramentas de visualização de dados (Ex: Power BI ou Looker Studio).DesejávelExperiência ou conhecimento em modelos de Machine Learning/Inteligência Artificial aplicados a negócios.Conhecimento em linguagens de programação para análise de dados (Ex: Python ou R).Conhecimento em ferramentas de orquestração de dados (Ex: Airflow).Tem alguma dúvida? Fale com o time de R&S.Modelo de TrabalhoAdotamos o modelo híbrido de trabalho, que une a flexibilidade do trabalho remoto à interação presencial no escritório, oferecendo um equilíbrio entre as diferentes formas de colaboração e bem-estar.‘’Se você busca um ambiente de crescimento e desafios,Vem ser feliz!""Nossos valores nos unem e nossas diferenças nos potencializam como um grupo. Mais do que igualdade, buscamos equidade: Aqui, temos espaço para sermos autênticos, independentemente de gênero, etnia, raça, orientação sexual, clero ou deficiência.",https://br.linkedin.com/jobs/view/analista-de-dados-sr-at-magalu-4335544227?position=10&pageNum=7&refId=FlV8AJVdof1BckFf8ZKwpg%3D%3D&trackingId=uaQkwF1aUb0FiQhYA7LcFA%3D%3D,Senior
Analista de Dados Pleno | Cartões,PicPay,"São Paulo, São Paulo, Brazil",,"Sobre o PicPayCom mais de dez anos de história, o PicPay é um ecossistema completo de serviços financeiros e não-financeiros que tem como objetivo atender as necessidades diárias de milhares de pessoas e negócios, tornando-se a sua principal conta do dia a dia.Fundada em Vitória (ES), a empresa já conta com mais de 35 milhões de clientes ativos e faz parte do grupo J&F, um dos maiores conglomerados empresariais do Brasil. A companhia atua em diversas frentes, como Serviços Financeiros para Pessoa Física, Serviços Financeiros para Pessoa Jurídica, Investimentos e PicPay Shop.Pautados pela nossa cultura, seguimos no propósito de dar muito mais pique para a vida de milhões de brasileiros. Conheça nossos valores: Atitude de Dono(a), Disciplina, Determinação, Disponibilidade, Simplicidade, Humildade e Franqueza.O respeito, a ética, a busca pela equidade e a valorização da pluralidade são elementos inegociáveis e fazem parte da prática no nosso dia a dia aqui no PicPay. Por isso, esta vaga está aberta para todas as pessoas, independente de gênero, religião, etnia, deficiência, idade, orientação sexual ou qualquer outro fator.Conheça melhor a unidade de negócio que essa vaga pertence:Nossa unidade de negócio de Serviços Financeiros para Pessoa Física é responsável pelo ecossistema que vai desde carteira digital, PIX, PicPay Card, até a contratação de seguros. Por aqui, você fará parte da construção e desenvolvimento de produtos e serviços que simplificam a vida de milhões de brasileiros e empresas.Sobre a vaga:Nossa unidade de Cartões, é responsável por todo o ecossistema de meios de pagamentos, fazendo a gestão de todo o ciclo de vida do produto e experiência do cliente, garantindo todos os resultados necessários para a rentabilização do negócio.Responsabilidade e atribuições:Atuação em equipes multidisciplinares, usando dados de forma crítica a fim de contribuir no direcionamento das campanhas e nas tomadas de decisão;Identificar públicos mais propensos a conversão, canais mais eficientes, incrementalidade de usuários e margem financeira, entre outros;Realizar análises pontuais para apoiar a tomada de decisões estratégicas e resolver desafios comerciais complexos;Identificar através de dados, oportunidades ao time de Produtos de otimização da jornada do funil de vendas;Habilidade para traduzir temas técnicos em linguajar de negócio;Fazer análises de mercado identificando fortalezas e oportunidades do produto;Acompanhar e apresentar os resultados de campanhas, testes A/B e iniciativas voltadas à melhoria contínua de performance;Requisitos e qualificações:Habilidade para traduzir temas técnicos em linguajar de negócio;Boa interlocução com stakeholders / áreas parceiras;Experiência em áreas de Business Intelligence, Business Analytics, Data Analytics ou CRO;Vivência da cultura de Testes/Experimentos que envolvam insights para comunicação a ação com cliente;SQL avançado;Familiaridade com ferramentas de visualização (ex: Tableau, Databricks, PowerBI ou similares);O que oferecemos:Saúde e Bem-estarAssistência Médica e Odontológica;Seguro de Vida;Programa Lado a Lado, com apoio jurídico, social, psicológico e financeiro;Wellhub.Alimentação/ Mobilidade ou Teletrabalho:Cartão de crédito PicPay Benefícios, com ampla aceitação, onde você recebe seu saldo de Alimentação/Refeição e Mobilidade ou Teletrabalho (de acordo com o seu contrato de trabalho).Licença Paternidade e Maternidade:Licença Maternidade estendida de 6 meses, e de Paternidade também estendida de 20 dias.Programa ""Novo Ser"", que acompanha nossas mamães durante toda a gestação e no retorno da licença. Falando nisso, ao retornar da licença maternidade, as mamães ainda contam com a ajuda do Auxílio Creche e também os papais que possuem guarda unilateral ou compartilhada.Reconhecemos resultados: PPR-Participação nos Resultados do PicPay.#VemserPicpayLover #Picpay",https://br.linkedin.com/jobs/view/analista-de-dados-pleno-cart%C3%B5es-at-picpay-4334720938?position=1&pageNum=10&refId=wMrAR3Le%2F6Suu6ohZC75gg%3D%3D&trackingId=PvDxhvF6Zo1dZBZk%2FLeUeg%3D%3D,Pleno
Analista de Dados Jr,Hospital e Maternidade Marieta K. Bornhausen,"Itajaí, Santa Catarina, Brazil",2025-11-12,"DESCRIÇÃOBuscamos profissionais comprometidos e que prezam pela atuação voltada em oferecer assistência em saúde com segurança, resolutividade, humanização e sustentabilidade, respeitando o indivíduo na sua integralidade.Se você possui interesse em trabalhar na área Hospitalar, então, esse é o momento de fazer parte da nossa equipe! Estamos com oportunidade na área de Tecnologia da Informação. Se você possui interesse e atende aos requisitos da vaga, ficaremos felizes em conhecê-lo!Requisitos: Graduação completa em Sistema de Informação ou Ciência da Computação.Conhecimentos: Domínio do sistema Tasy; Domínio no desenvolvimento de Relatórios; Noções de Inglês;Noção em SQL. Experiências anteriores com suporte ao usuário.Disponibilidade para atuar presencialmente na cidade de Itajaí - SC.Local de trabalho: Itajaí, SCRegime de contratação de tipo: Efetivo – CLTJornada: Período IntegralÁrea e especialização profissional: Informática, TI, Telecomunicações - TINível hierárquico: AnalistaREQUISITOSEscolaridade Mínima: Ensino SuperiorHABILIDADESHumanizaçãoTrabalho em equipeOrganizaçãoAgilidadeResponsabilidadeBENEFÍCIOSVale transorteRefeitório no localPlano odontológico",https://br.linkedin.com/jobs/view/analista-de-dados-jr-at-hospital-e-maternidade-marieta-k-bornhausen-4335696696?position=2&pageNum=10&refId=wMrAR3Le%2F6Suu6ohZC75gg%3D%3D&trackingId=U8W4t%2B5v%2BNIrrG5ttlMHhw%3D%3D,Junior
Data Analyst,Tata Consultancy Services,"São Paulo, Brazil",2025-11-05,"Come to one of the biggest IT Services companies in the world!! Here you can transform your career!Why to join TCS? Here at TCS we believe that people make the difference, that's why we live a culture of unlimited learning full of opportunities for improvement and mutual development. The ideal scenario to expand ideas through the right tools, contributing to our success in a collaborative environment.We are looking forDataViz/Power BI Senior Analyst, who wants to learn and transform his career.In this role you will:Deal with data processing in Power BI,Surveys or shadowing to understand user needs and behaviors;Create dashboardsETL processAnd much better if you stand out for:Fluent English;Power BI reports;DataViz knowledge;Dashboard development;Problem resolution and creativity;<<<< Please attach resume in English>>>>>>What do we offer?• TCS Benefits – Brazil:• Health insurance• Dental Plan• Life insurance• Transportation vouchers• Meal/Food Voucher• Childcare assistance• Gympass• TCS Cares – free 0800 that provides psychological assistance (24 hrs/day), legal, social and financial assistance to associates• Partnership with SESC• Reimbursement of Certifications• Free TCS Learning Portal – Online courses and live training• International experience opportunity• Discount Partnership with Universities and Language Schools• Bring Your Buddy – By referring people you become eligible to receive a bonus for each hire• TCS Gems – Recognition for performance• Xcelerate – Free Mentoring Career Platform• Tata Consultancy Services is an equal opportunity employer, our commitment to diversity & inclusion drives our efforts to provide equal opportunity to all candidates who meet our required knowledge & competency needs, irrespective of any socio-economic background, race, color, national origin, religion, sex, gender identity/expression , age, marital status, disability, sexual orientation or any others. We encourage anyone interested to build a career in TCS to participate in our recruitment & selection process.• At Tata Consultancy Services we promote an inclusive culture, we always work for equity. This applies to Gender, People with Disabilities, LGBTQIA+, Religion, Race, Ethnicity. All our opportunities are based on these principles. We think of different actions of inclusion and social responsibility, in order to build a TCS that respects each person. Our motto is Inclusion without exception.At TATA Consultancy Services we promote an inclusive culture, we always work for equity. This applies to Gender, People with Disabilities, LGBTQIA+, Religion, Race, Ethnicity. All our opportunities are based on these principles. We think of different actions of inclusion and social responsibility, in order to build a TCS that respects individuality. Come to be a TCSer!#Buildingonbelief",https://br.linkedin.com/jobs/view/data-analyst-at-tata-consultancy-services-4334337803?position=3&pageNum=10&refId=wMrAR3Le%2F6Suu6ohZC75gg%3D%3D&trackingId=aUSp0fx6q51FiSquxKlRsA%3D%3D,Outros
Analista Pleno de Data & Analytics | Logistic,Shopee,"São Paulo, São Paulo, Brazil",2025-11-10,"About The TeamSobre a Shô:Aqui na Shô, acreditamos que cada membro de nossa equipe é fundamental para o nosso sucesso, e que diversidade de perspectivas e vivências são essenciais para movimentar nosso negócio e impulsionar o nosso propósito de mudar o mundo para melhor. Fazer parte do nosso time é a oportunidade de se desenvolver dentro de uma cultura de muita agilidade. Se você ama assumir grandes responsabilidades e fazer o que nunca foi feito, a Shô é seu lugar. Aqui você terá grandes desafios, trabalhará em colaboração com um time diverso e contribuirá para o futuro do e-commerce no Brasil, criando impacto positivo na vida de milhões de pessoas.Modelo De TrabalhoAdotamos um modelo de trabalho híbrido, esse modelo permite que as pessoas ajustem seu ambiente de trabalho de acordo com suas necessidades pessoais, ao mesmo tempo em que promove a colaboração e interação no escritório.Qual será a sua missãoA equipe de Data & Analytics transforma os dados em insights acionáveis que geram valor comercial, aproveitando tecnologias e metodologias avançadas para coletar, processar e analisar dados grandes e complexos.A Associada de Data & Analytics ocupa um nível intermediário de maturidade em análise de dados, sendo responsável por executar tanto tarefas operacionais quanto estratégicas. Além de entregar tarefas simples de forma rápida e confiável, ao mesmo tempo em que participa de análises de dados estratégicas e decisões de negócios, utilizando habilidades técnicas, habilidades interpessoais e conhecimento de negócios para influenciar a direção das áreas.Job DescriptionComo será o seu dia a dia:Compreender as solicitações dos stakeholders e ser capaz de identificar se o entregável responde à pergunta ou resolve o problema, além disso, ser proativo para melhorar as soluções solicitadas e obter um impacto mais significativo;Desenvolver entregas técnicas operacionais com excelente qualidade e agilidade e participar ativamente de análises estratégicas que direcionem o negócio e a empresa;Construir um bom relacionamento com os stakeholders e colegas, possibilitando melhores soluções e impactando o negócio;Auxiliar o negócio com dados e abordagens corretas na resolução de problemas de forma eficaz;Entender a operação, as tarefas e a direção do negócio, bem como a forma de conectar os dados a cada um deles, agindo de maneira consultiva para mostrar os possíveis caminhos a serem seguidos para todas as partes interessadas e colegas;Precisão no desenvolvimento de soluções solicitadas pelas áreas de negócio e compreender se elas respondem a questões ou solucionam problemas de forma eficaz;Desenvolver visualizações de dados que respondam a perguntas ou contem histórias direcionadas às necessidades da empresa;Utilizar a efetividade da estrutura do banco de dados e ser capaz de aprimorar e automatizar fluxos de trabalho para melhorar soluções e processos;Seguir e propor melhorias nos padrões de dados da empresa, como documentação, estrutura, indentação e organização;Ser ágil na execução de códigos organizados, com bom desempenho, que extraiam dados corretos para solucionarproblemas.RequirementsO que você precisa para assumir o desafio:Gradução completa em uma áreas correlatas (por exemplo, estatística, matemática, ciência da computação, engenharia, economia, negócios);Conhecimento de linguagens de análise de dados > SQL Avançado; Python diferencial.Trabalho confortável com grandes conjuntos de dados e números e ambientes de big data;Conhecimento em modelagem, preparação e manipulação de dados;Experiência com algumas ferramentas de visualização de dados para reportar dados;Experiência com gestão de stakeholders e desafios de negócios;Inglês Intermediário.BenefíciosAssistência médica e odontológica, estendendo-se aos dependentes;Parceira com Gympass e TotalPass;Vale Refeição/Alimentação flexível;Vale Transporte, Vale Mobilidade ou Estacionamento no local;Benefício flexível;Zenklub;Bônus anual discricionário, atrelado à performance.VEM FAZER HISTÓRIA COM A GENTE.O QUE TE FAZ ÚNICO, NOS FAZ MELHORES! 🧡N-A40",https://br.linkedin.com/jobs/view/analista-pleno-de-data-analytics-logistic-at-shopee-4321960050?position=4&pageNum=10&refId=wMrAR3Le%2F6Suu6ohZC75gg%3D%3D&trackingId=UNnwOLqZSCmOPlDWTXr59Q%3D%3D,Pleno
Analista de Dados GSS,SLB,"Macaé, Rio de Janeiro, Brazil",2025-11-10,"Resumo do Cargo:O Analista de Dados GSS é responsável por fornecer aos clientes de forma segura, eficiente e confiável. O Analista de Dados GSS identifica oportunidades para melhorar a entrega dos serviços, implementa procedimentos padronizados e gerencia riscos durante a execução. Essa pessoa monitora o poço para fornecer informações precisas e em tempo hábil aos clientes; mantém sensores, equipamentos e sistemas de aquisição de dados; e entrega dados de alta qualidade ao cliente.Atividades:Realizar a montagem e desmontagem de unidades Offshore ou Onshore (Rig Up e Rig Down), garantindo a integridade e funcionalidade de todos os equipamentos conforme o escopo de trabalho e de acordo com padrões de SMS.Executar calibrações e manutenções nos equipamentos e sensores, conforme descrito nos procedimentos operacionais (standard work instrucions - SWIs).Assegurar que todos os equipamentos e serviços estejam funcionando corretamente e que os dados estejam sendo registrados com precisão no banco de dados.Monitorar os parâmetros de perfuração, volumetria dos tanques, fluxo de entrada e saída, cromatografia gasosa e demais eventos, visando prevenir eventos anômalos de estabilidade do poço, garantindo a integridade do poço e o controle primário.Notificar eventos operacionais relacionados à geologia, detecção kicks, perda de circulação e demais cenários que possam comprometer a integridade de poços.Coletar, analisar e registrar amostras geológicas. Criar relatórios e perfis específicos com as informações obtidas no poço. Detectar evidências de hidrocarbonetos e notificar o cliente.Gerenciar banco de dados e garantir a qualidade e integridade dos dados do poço; assegurar que a transmissão de dados em tempo real seja confiável e atenda aos requisitos do cliente.Entregar e Arquivar relatórios diários e Entregáveis Finais de Poços, conforme exigências específicas dos clientes.Preparar Documentação de suporte para Faturamento do Trabalho e garantir entrega do serviço conforme requerimentos contratuais.Responsabilidades:Garantir que os resultados do trabalho sejam precisos e entregues no prazo.Monitorar, registrar e processar dados e parâmetros do poço, assegurando a integridade e confiabilidade das informações.Compilar o Relatório Final de Poço, relatórios sob demanda solicitados pelos clientes e relatórios diários.Interagir de forma profissional com pessoal e representantes de outras empresas de serviços no local do poço.Manter a confidencialidade dos dados do poço dos clientes.Identificar oportunidades de melhoria no processo de entrega de serviços.Participar da análise de riscos das atividades e de programas de melhoria contínua.Utilizar EPI e seguir as políticas de SMS (Saúde, Meio Ambiente e Segurança).Manter os treinamentos de segurança exigidos atualizados.Requisitos Mínimos:Superior ou Técnico completo em Geologia ou Ciências GeológicasCREA ou CFT ativoCursos específicos na áreaMínimo de 2 anos de experiência como Analista de Dados em poços Onshore ou Offshore.Conhecimento de controle de poço;Inglês intermediário/avançado",https://br.linkedin.com/jobs/view/analista-de-dados-gss-at-slb-4310231514?position=5&pageNum=10&refId=wMrAR3Le%2F6Suu6ohZC75gg%3D%3D&trackingId=VurS%2FXHxXIIS7hfczLXDBg%3D%3D,Outros
Corporativo | Analista de Dados Júnior,Grupo Habib's,"São Paulo, São Paulo, Brazil",,"DESCRIÇÃOPrazer, somos o maior grupo de food service genuinamente brasileiro.Nos conectamos com as pessoas por meio das comidas e histórias vividas à mesa. Há mais de 40 anos, levamos sabor e qualidade a preços realmente acessíveis, sempre com foco em inovar e expandir a nossa atuação no mercado.Hoje, contamos com 5 marcas (Habib’s, Ragazzo, Ragazzo Express, Tendall e Mita), cerca de 600 lojas pelo Brasil e mais de 10 mil colaboradores que fazem tudo dar certo todos os dias.Se você quer crescer, se desenvolver e viver experiências inesquecíveis, junte-se a nós e se prepare para transformar o mercado de food service do país!Suas Atividades SerãoApoiar na criação e manutenção de dashboards em Excel e Power BI;Realizar análises estatísticas e construção de indicadores de desempenho;Auxiliar na geração e consolidação de dados para reports gerenciais;Criar apresentações executivas com foco em storytelling para diretoria;Confrontar e interpretar dados históricos, identificar sazonalidades e tendências;Trabalhar junto ao time de planejamento, garantindo consistência e clareza nas informações;Apoiar na automatização de relatórios e processos manuais em Excel.Você Precisa TerExcel de nível intermediário a avançado (uso de fórmulas como SOMA, MÉDIA, PROCV, TABELA DINÂMICA, entre outras);Ensino superior completo em cursos da área de Exatas (Estatística, Engenharia, Matemática, Economia, entre outros);Conhecimento do Pacote Office de nível médio a avançado;Capacidade analítica para leitura, interpretação e cruzamento de dados;Habilidade em elaborar apresentações estruturadas, com foco em análise e insights para a liderança;Perfil curioso, com iniciativa para investigar e validar dados inconsistentes;Conhecimento básico em SQL.Seria Legal Se Você TivesseVivência com Power BI e facilidade de aprendizado em outras ferramentas como Tableau;Experiência com estatísticas aplicadas à área de negócios;Experiência prévia como Analista de Planejamento ou áreas correlatas;Noções de criação de estudos de caso e testes práticos em Excel.Modelo De TrabalhoSegunda a sexta – 100% presencial;Local de Trabalho: Morumbi – SP.Local de trabalho: São Paulo, SPRegime de contratação de tipo: Efetivo – CLTJornada: Período IntegralÁrea e especialização profissional: Administração - Administração GeralNível hierárquico: AnalistaREQUISITOSEscolaridade Mínima: Ensino SuperiorVALORIZADOTempo de experiência: Entre 3 e 5 anos",https://br.linkedin.com/jobs/view/corporativo-analista-de-dados-j%C3%BAnior-at-grupo-habib-s-4339861869?position=6&pageNum=10&refId=wMrAR3Le%2F6Suu6ohZC75gg%3D%3D&trackingId=irm%2FmUIBlhfTllBbD8jFkw%3D%3D,Junior
Analista de Dados Tipo I (Item 10) Exploração,Accerth Serviços e Tecnologia Ltda.,"Macaé, Rio de Janeiro, Brazil",2025-09-04,"Estamos contratandoAnalista de Dadospara atuar na área de Poços Exploratórios e Banco de Dados da Exploração.Principais atividades:Suporte técnico à análise, pesquisa e modelagem da base de dados de poços;Atendimento a demandas de integração e correção de sistemas;Elaboração de relatórios e apresentações para gestão de dados;Suporte em TI e telecomunicações, incluindo salas especiais de decisão e videoconferências;Diagnóstico e manutenção preventiva de equipamentos;Administração e controle de softwares, equipamentos e mobiliário das salas especiais.Requisitos:Formação superior em Engenharia de Produção, Análise de Sistemas ou Engenharia de Dados (instituição reconhecida pelo MEC);5 anos de experiência em atividades similares.",https://br.linkedin.com/jobs/view/analista-de-dados-tipo-i-item-10-explora%C3%A7%C3%A3o-at-accerth-servi%C3%A7os-e-tecnologia-ltda-4295466483?position=7&pageNum=10&refId=wMrAR3Le%2F6Suu6ohZC75gg%3D%3D&trackingId=LCqCVednu88Z0zLfsxhbrQ%3D%3D,Pleno
